,DHSCLUST,DHSREGNA,LATNUM,LONGNUM,geometry,elementary_access,improved_access,limited_access,other
72,412,Zambezia,-17.2596509864,37.5263920725,POINT (37.52639207200008 -17.25965098599994),22.0,,6.0,
73,413,Zambezia,-17.2931011115,37.6198807602,POINT (37.61988076000006 -17.29310111199993),8.0,,20.0,
74,414,Zambezia,-16.2210801179,35.7772892757,POINT (35.77728927600003 -16.22108011799997),25.0,,3.0,
75,415,Zambezia,-15.6906850181,36.4748704853,POINT (36.47487048500005 -15.69068501799995),15.0,,13.0,
76,416,Zambezia,-16.7791833099,36.5926291535,POINT (36.59262915300008 -16.77918330999995),2.0,,26.0,
77,417,Zambezia,-17.4650624254,35.7080464646,POINT (35.70804646500005 -17.46506242499993),19.0,,9.0,
78,418,Zambezia,-17.039125192,35.3628175752,POINT (35.36281757500007 -17.03912519199997),27.0,,1.0,
79,419,Zambezia,-17.6438478134,37.1490549116,POINT (37.14905491200005 -17.64384781299998),4.0,,25.0,
80,420,Zambezia,-17.6382287605,36.6789985534,POINT (36.67899855300004 -17.63822876099994),6.0,1.0,21.0,
81,421,Zambezia,-17.0622791908,38.2221618493,POINT (38.22216184900003 -17.06227919099996),24.0,,4.0,
82,501,Tete,-16.1617741585,33.5841856134,POINT (33.58418561300005 -16.16177415899995),,28.0,,
83,502,Tete,-16.1690472674,33.5709419646,POINT (33.57094196500003 -16.16904726699994),,29.0,,
84,503,Tete,-16.1519412834,33.6099008683,POINT (33.60990086800007 -16.15194128299993),5.0,22.0,,1.0
85,504,Tete,-15.5824846806,32.7671346295,POINT (32.76713462900005 -15.58248468099993),19.0,9.0,,
86,505,Tete,-16.1389425589,33.7424169459,POINT (33.74241694600005 -16.13894255899993),5.0,23.0,,
87,506,Tete,-14.7357396337,34.2773013268,POINT (34.27730132700003 -14.73573963399997),27.0,,1.0,
88,507,Tete,-14.5988897175,34.4633600777,POINT (34.46336007800005 -14.59888971799995),28.0,,,
89,508,Tete,-14.7842979387,34.1991692647,POINT (34.19916926500008 -14.78429793899994),3.0,,25.0,
90,509,Tete,-15.7398001566,32.8350825725,POINT (32.83508257300008 -15.73980015699993),18.0,,10.0,
91,510,Tete,-16.3463923293,33.3373162944,POINT (33.33731629400006 -16.34639232899997),28.0,,,
92,511,Tete,-14.9975395215,32.8719701423,POINT (32.87197014200007 -14.99753952199995),17.0,,11.0,
93,512,Tete,-15.5276874705,33.7053038763,POINT (33.70530387600007 -15.52768746999993),23.0,,5.0,
94,513,Tete,-15.0080115159,33.8776585719,POINT (33.87765857200003 -15.00801151599995),12.0,,16.0,
95,514,Tete,-15.9009129004,30.5992104144,POINT (30.59921041400003 -15.90091289999998),,,28.0,
96,515,Tete,-14.6360280082,32.2962029104,POINT (32.29620291000003 -14.63602800799993),,,28.0,
97,516,Tete,-15.5352044359,34.4003337808,POINT (34.40033378100003 -15.53520443599996),1.0,,27.0,
98,517,Tete,-16.9652356176,34.8645665353,POINT (34.86456653500005 -16.96523561799995),4.0,,24.0,
99,518,Tete,-16.8272839457,34.7570953467,POINT (34.75709534700007 -16.82728394599997),28.0,,,
100,519,Tete,-14.8156691731,34.5543189557,POINT (34.55431895600003 -14.81566917299995),1.0,,27.0,
